"time","value","userid"
2019-01-10 00:00:05,63,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:00:10,64,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:00:15,65,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:00:25,63,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:00:30,62,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:00:35,61,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:00:40,60,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:00:45,58,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:00:55,57,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:01:10,57,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:01:20,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:01:35,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:01:40,58,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:01:45,61,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:01:55,63,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:02:00,63,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:02:05,63,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:02:10,61,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:02:15,59,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:02:25,58,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:02:31,57,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:02:41,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:02:46,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:03:01,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:03:06,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:03:11,57,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:03:16,59,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:03:21,60,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:03:26,61,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:03:31,60,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:03:46,57,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:03:51,56,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:03:56,65,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:04:11,65,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:04:26,65,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:04:31,88,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:04:36,91,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:04:41,89,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:04:46,87,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:04:51,86,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
